Name                          Total    Bin.1,    Bin.2,
BBa_J23108--BBa_J61134        11624      7062      4562
BBa_J23117--apFAB872          11339      6967      4372
BBa_J23108--apFAB954          11105      6760      4345
apFAB259--BBa_J61131          11035      6664      4371
BBa_J23108--BBa_J61131        10987      6536      4451
BBa_J23108--apFAB872          10888      6417      4471
apFAB302--apFAB872            10881      6530      4351
BBa_J23115--apFAB864          10691      6511      4180
apFAB114--BBa_J61132          10686      6272      4414
apFAB312--apFAB864            10675      6337      4338
BBa_J23106--apFAB876          10634      6442      4192
BBa_J23108--apFAB868          10601      6336      4265
apFAB300--BBa_J61110          10531      6273      4258
BBa_J23108--BBa_J61103        10490      6299      4191
apFAB129--B0034_RBS           10459      6257      4202
BBa_J23116--apFAB868          10369      6301      4068
BBa_J23108--apFAB901          10328      6236      4092
apFAB312--BBa_J61134          10320      6183      4137
BBa_J23103--apFAB904          10296      6284      4012
BBa_J23115--apFAB837          10239      6126      4113
apFAB311--apFAB890            10227      6248      3979
apFAB109--apFAB876            10216      6029      4187
apFAB342--apFAB821            10163      5991      4172
BBa_J23115--apFAB834          10124      6180      3944
BBa_J23116--apFAB872          10110      6071      4039
apFAB124--apFAB831            10072      5911      4161
apFAB109--BBa_J61108           9990      5913      4077
apFAB277--apFAB954             9987      6069      3918
BBa_J23115--apFAB869           9958      6006      3952
apFAB114--apFAB872             9891      5871      4020
apFAB109--apFAB895             9861      5857      4004
BBa_J23108--apFAB910           9858      5970      3888
BBa_J23103--apFAB851           9787      5787      4000
BBa_J23103--apFAB954           9758      5852      3906
apFAB302--BBa_J61131           9740      5796      3944
apFAB259--BBa_J61103           9740      5893      3847
BBa_J23115--BBa_J61108         9740      5859      3881
BBa_J23115--apFAB844           9689      5786      3903
BBa_J23115--BBa_J61128         9647      5896      3751
apFAB277--apFAB837             9642      5799      3843
BBa_J23115--apFAB872           9640      5808      3832
apFAB311--apFAB865             9637      5844      3793
apFAB114--apFAB833             9625      5713      3912
BBa_J23108--BBa_J61124         9569      5747      3822
BBa_J23115--apFAB865           9564      5803      3761
apFAB312--Anderson_RBS         9559      5699      3860
BBa_J23116--apFAB837           9559      5574      3985
BBa_J23116--apFAB876           9555      5791      3764
apFAB312--apFAB909             9533      5689      3844
apFAB311--apFAB904             9506      5830      3676
apFAB277--apFAB876             9464      5726      3738
apFAB311--apFAB903             9458      5682      3776
BBa_J23103--apFAB876           9440      5650      3790
BBa_J23117--apFAB903           9433      5756      3677
BBa_J23109--apFAB910           9413      5571      3842
apFAB311--apFAB872             9409      5683      3726
apFAB259--apFAB831             9409      5811      3598
BBa_J23117--BBa_J61119         9394      5774      3620
BBa_J23106--apFAB954           9316      5562      3754
apFAB312--apFAB883             9315      5589      3726
BBa_J23118--apFAB954           9306      5729      3577
apFAB312--BBa_J61113           9300      5705      3595
BBa_J23113--BBa_J61113         9225      5527      3698
BBa_J23103--BBa_J61113         9207      5606      3601
BBa_J23118--BBa_J61132         9202      5606      3596
BBa_J23109--apFAB904           9199      5655      3544
apFAB312--BBa_J61129           9159      5545      3614
apFAB124--BBa_J61108           9135      5485      3650
apFAB300--BBa_J61134           9123      5459      3664
BBa_J23103--apFAB837           9107      5441      3666
BBa_J23108--apFAB843           9103      5499      3604
BBa_J23108--BBa_J61139         9071      5448      3623
BBa_J23109--apFAB872           9068      5582      3486
apFAB114--apFAB864             9056      5374      3682
BBa_J23108--apFAB864           8982      5399      3583
BBa_J23103--apFAB889           8979      5355      3624
apFAB124--apFAB914             8978      5353      3625
apFAB277--apFAB901             8978      5518      3460
BBa_J23108--apFAB831           8974      5481      3493
BBa_J23115--BBa_J61119         8968      5345      3623
BBa_J23115--BBa_J61124         8968      5468      3500
apFAB300--apFAB894             8905      5168      3737
apFAB259--BBa_J61136           8891      5507      3384
apFAB114--apFAB868             8888      5340      3548
BBa_J23103--apFAB857           8853      5317      3536
BBa_J23115--apFAB833           8826      5410      3416
BBa_J23103--apFAB831           8791      5251      3540
BBa_J23108--apFAB844           8761      5268      3493
apFAB114--BBa_J61113           8736      5180      3556
apFAB300--apFAB901             8735      5182      3553
apFAB109--BBa_J61119           8732      5213      3519
BBa_J23115--apFAB889           8726      5254      3472
BBa_J23118--apFAB876           8724      5294      3430
BBa_J23102--BBa_J61103         8709      5341      3368
apFAB125--Anderson_RBS         8681      5122      3559
BBa_J23117--BBa_J61131         8672      5305      3367
BBa_J23117--apFAB837           8662      5199      3463
apFAB109--apFAB894             8640      5087      3553
apFAB277--apFAB904             8635      5173      3462
apFAB114--apFAB889             8618      5079      3539
BBa_J23114--apFAB904           8586      5219      3367
apFAB87--DeadRBS               8586      5149      3437
BBa_J23118--apFAB872           8585      5182      3403
BBa_J23115--apFAB914           8584      5136      3448
