Name                          Total    Bin.1,    Bin.2,
BBa_J23117--B0030_RBS          2336      1167      1169
apFAB300--DeadRBS              2198      1022      1176
apFAB312--DeadRBS              2192       948      1244
BBa_J23117--B0034_RBS          2140       909      1231
BBa_J23117--apFAB872           1961       907      1054
BBa_J23103--DeadRBS            1953       942      1011
BBa_J23117--GSG_RBS            1938       849      1089
apFAB312--apFAB864             1891       883      1008
apFAB109--DeadRBS              1888       934       954
apFAB311--B0034_RBS            1869       904       965
apFAB302--DeadRBS              1810       854       956
BBa_J23116--GSG_RBS            1792       823       969
BBa_J23115--B0034_RBS          1785       811       974
apFAB338--DeadRBS              1762       803       959
apFAB124--DeadRBS              1760       718      1042
apFAB317--DeadRBS              1760       803       957
BBa_J23108--B0034_RBS          1741       796       945
apFAB114--apFAB833             1739       834       905
BBa_J23108--apFAB954           1724       799       925
apFAB306--DeadRBS              1714       826       888
apFAB115--DeadRBS              1713       856       857
apFAB311--apFAB872             1712       799       913
apFAB302--apFAB872             1711       758       953
apFAB78--DeadRBS               1700       820       880
apFAB342--DeadRBS              1698       713       985
apFAB114--DeadRBS              1688       792       896
apFAB311--apFAB904             1660       813       847
apFAB75--DeadRBS               1658       779       879
apFAB62--DeadRBS               1656       813       843
apFAB342--apFAB821             1639       774       865
apFAB114--apFAB872             1626       768       858
BBa_J23103--apFAB904           1625       718       907
apFAB259--DeadRBS              1616       737       879
apFAB311--apFAB890             1612       805       807
BBa_J23108--apFAB901           1608       789       819
apFAB346--DeadRBS              1603       749       854
BBa_J23117--DeadRBS            1598       762       836
apFAB345--DeadRBS              1594       730       864
BBa_J23117--apFAB903           1593       768       825
BBa_J23108--apFAB872           1590       770       820
BBa_J23113--GSG_RBS            1589       790       799
apFAB312--BBa_J61134           1583       715       868
apFAB124--apFAB914             1582       763       819
BBa_J23115--apFAB864           1580       694       886
BBa_J23116--B0034_RBS          1576       717       859
BBa_J23103--apFAB851           1572       730       842
apFAB311--apFAB865             1570       730       840
apFAB114--BBa_J61132           1568       726       842
apFAB129--B0034_RBS            1567       736       831
BBa_J23113--B0034_RBS          1557       762       795
BBa_J23108--BBa_J61134         1555       718       837
BBa_J23103--apFAB954           1553       701       852
BBa_J23108--apFAB868           1546       734       812
apFAB259--BBa_J61131           1544       737       807
apFAB312--apFAB909             1542       726       816
apFAB109--apFAB876             1537       668       869
BBa_J23115--apFAB914           1535       717       818
apFAB124--apFAB831             1529       702       827
apFAB114--apFAB864             1528       696       832
apFAB311--apFAB903             1516       706       810
apFAB321--DeadRBS              1516       791       725
BBa_J23118--GSG_RBS            1515       660       855
BBa_J23115--apFAB834           1512       726       786
BBa_J23117--apFAB844           1502       747       755
apFAB312--B0032_RBS            1501       706       795
apFAB109--apFAB895             1498       689       809
BBa_J23106--apFAB954           1497       692       805
apFAB259--apFAB831             1496       747       749
BBa_J23115--DeadRBS            1490       685       805
BBa_J23108--B0030_RBS          1488       694       794
BBa_J23108--BBa_J61103         1485       724       761
BBa_J23116--apFAB868           1484       774       710
apFAB65--DeadRBS               1483       664       819
BBa_J23115--apFAB869           1479       693       786
apFAB311--GSG_RBS              1470       688       782
BBa_J23108--BBa_J61131         1470       687       783
apFAB124--GSG_RBS              1468       724       744
apFAB312--apFAB954             1467       672       795
BBa_J23117--apFAB865           1459       674       785
BBa_J23115--apFAB872           1459       683       776
BBa_J23115--BBa_J61128         1458       711       747
apFAB302--GSG_RBS              1451       652       799
BBa_J23106--apFAB876           1450       672       778
BBa_J23115--apFAB837           1449       685       764
apFAB259--GSG_RBS              1446       704       742
apFAB277--apFAB837             1442       651       791
apFAB342--apFAB864             1440       664       776
BBa_J23103--apFAB857           1436       645       791
BBa_J23115--apFAB865           1436       753       683
apFAB300--GSG_RBS              1435       693       742
BBa_J23116--apFAB837           1435       652       783
apFAB109--apFAB851             1424       715       709
BBa_J23116--apFAB872           1422       665       757
apFAB312--Anderson_RBS         1422       661       761
apFAB114--apFAB889             1420       645       775
BBa_J23103--apFAB889           1419       647       772
BBa_J23116--apFAB876           1418       671       747
BBa_J23115--apFAB889           1414       635       779
apFAB300--apFAB901             1413       646       767
apFAB277--apFAB954             1401       636       765
apFAB114--apFAB903             1400       688       712
apFAB277--apFAB876             1393       621       772
BBa_J23117--apFAB857           1393       650       743
apFAB306--apFAB844             1392       603       789
BBa_J23108--apFAB910           1392       708       684
apFAB300--B0034_RBS            1390       647       743
apFAB114--apFAB868             1389       651       738
apFAB300--BBa_J61110           1389       687       702
apFAB259--apFAB834             1389       563       826
