Name                                        Total       Bin.1,    Bin.2,     Bin.3,     Bin.4,     Bin.5,     Bin.6,    Bin.7,     Bin.8,    Bin.9,     Bin.10,    Bin.11,    Bin.12,
Total number of sequences given as input:,  130681269,  6640076,  13937059,  12223210,  10267361,  14700549,  9457013,  10400150,  9521817,  13505921,  10770979,  10779456,  8477678,
Total merged sequences:,                    94882104,   4385007,  9431772,   8501000,   7239189,   10599825,  6952113,  7709548,   7199529,  10226720,  8075127,   8153291,   6408983,
Total trimmed and merged sequences:,        94882104,   4385007,  9431772,   8501000,   7239189,   10599825,  6952113,  7709548,   7199529,  10226720,  8075127,   8153291,   6408983,
Total untrimmed and merged sequences:,      0,          0,        0,         0,         0,         0,         0,        0,         0,        0,         0,         0,         0,
Percent of total sequences used:,           72.6%,      66.0%,    67.7%,     69.5%,     70.5%,     72.1%,     73.5%,    74.1%,     75.6%,    75.7%,     75.0%,     75.6%,     75.6%,
Total left trims (CATATG):,                 60834,      4646,     9194,      8036,      5423,      7160,      3935,     4225,      3458,     5088,      3973,      3180,      2516,
Total right trims (GGCGCGCC):,              87648568,   4154345,  8906757,   7998502,   6789942,   9860584,   6423772,  7097172,   6561956,  9299523,   7354756,   7366744,   5834515,
Total unmerged sequences:,                  35795280,   2254865,  4504822,   3721835,   3027867,   4100242,   2504630,  2690299,   2322070,  3278829,   2695555,   2625843,   2068423,
Total discarded sequences:,                 3885,       204,      465,       375,       305,       482,       270,      303,       218,      372,       297,       322,       272,
Total unique correct sequences:,            12243,      8399,     7294,      6835,      6925,      7922,      7523,     8188,      7670,     7310,      8600,      6315,      6020,
Total count of correct sequences:,          46685903,   2076886,  4475888,   3794662,   2944209,   5390330,   3391192,  3850540,   3491797,  5106578,   4300123,   4407454,   3456244,
Percentage of correct sequences used:,      49.2%,      47.4%,    47.5%,     44.6%,     40.7%,     50.9%,     48.8%,    49.9%,     48.5%,    49.9%,     53.3%,     54.1%,     53.9%,
Total reference sequences:,                 12653,      12653,    12653,     12653,     12653,     12653,     12653,    12653,     12653,    12653,     12653,     12653,     12653,
